,index,Location_Coordinates,Location,Hospital_Name,State,District
0,0,"11.6357989, 92.7120575",Near Dollygunj Junction,Chakraborty Multi Speciality Hospital,Andaman and Nicobar Islands,South Andaman
1,1,"11.8311681, 92.6586401",Medical Board Office,Inhs Dhanvantri,Andaman and Nicobar Islands,South Andaman
2,2,"11.8311681, 92.6586401",Near Masjid,Maricar Hospital,Andaman and Nicobar Islands,South Andaman
3,3,"11.6498468, 92.7294624","Lamba Line, P.B. No. 526",Pillar Health Centre,Andaman and Nicobar Islands,South Andaman
4,6,"14.6795736, 77.592469","7/201, Court Road Anantapur 515001  Anantapur",Aasha Hospitals,Andhra Pradesh,Anantapur
5,8,"14.6818877, 77.6005911","Hyma Test Tube Baby and Research Centre, Baby Hospital Complex, Sainagar,Anantapur",Baby Hospital,Andhra Pradesh,Anantapur
6,9,"14.6723351, 77.6018211","12-3-234, 6Th Cross Sai Nagar Anantapur 515001  Anantapur",Dr Akbar Eye Hospital And Laser Centre,Andhra Pradesh,Anantapur
7,11,"14.6749908, 77.6032432","Sai Nagar Iind Cross,Anantapur",Hrudaya Children Hospital,Andhra Pradesh,Anantapur
8,12,"17.4738037, 78.5641765","15-381, Kamala Nagar,.","Jeevana Jyothi Hospitals Ltd.,",Andhra Pradesh,Anantapur
9,14,"14.6818877, 77.6005911",Railway Station Road,Meda Nursing Home,Andhra Pradesh,Anantapur
10,15,"14.6723351, 77.6018211","12/3-269, Sai Nagar, 6Th Cross, Anantapur",Mnr Nursing Home,Andhra Pradesh,Anantapur
11,16,"14.6867872, 77.5832307",D No: 15/721 Kamala Nagar Anantapur 515001  Anantapur,Mythri Hospitals,Andhra Pradesh,Anantapur
12,17,"15.3474564, 75.1253824","Aravinda Nagar, 2 Nd Cross",Padmavathi Hospital,Andhra Pradesh,Anantapur
13,18,"14.6742267, 77.6025251","12-2-979,3Rd Cross, Sai Nagar, Anantapur",Pavani Multi Speciality Hospital,Andhra Pradesh,Anantapur
14,19,"14.6818877, 77.6005911","346, Court Road,.",Prasanthi Nursing Home,Andhra Pradesh,Anantapur
15,20,"14.6723351, 77.6018211","12/2/991, Sai Nagar,Main Road, Anantpur",Priya Multispeciality Hospital,Andhra Pradesh,Anantapur
16,21,"14.6805847, 77.6000775","15-16, Kamala Nagar, Anantapur",Ravitej Nursing Home,Andhra Pradesh,Anantapur
17,22,"13.9860276, 77.7658783","Near R.T.C, Bus Stand, Anantapur",Santhi Nursing Home,Andhra Pradesh,Anantapur
18,24,"14.6818877, 77.6005911","Door No-14-324, Bank Of Baroda Lane, Kamala Nagar Iii Cross, Anantapur",Sri Sai Balaji Hospital,Andhra Pradesh,Anantapur
19,25,"13.6340453, 79.4157431","10/368, Sarojini Road, Anantapur",Sri Sai Kurpa Nursing Home,Andhra Pradesh,Anantapur
20,26,"14.6818877, 77.6005911",Anantapur,Sri Sai Venkateshwara Surgical Clinic,Andhra Pradesh,Anantapur
21,27,"14.9093514, 78.0060388","Hospital Road,Anantapur-515001",Sudhir Surgical Clinic,Andhra Pradesh,Anantapur
22,28,"14.6755437, 77.6036802","12-2-870,1St Cross,Sai Nagar,Anantapur",Suma Eye Clinic,Andhra Pradesh,Anantapur
23,29,"14.6755437, 77.6036802","12/350-A,1St Cross,Sai Nagar,Anantapur",Swetha Ent Hospital,Andhra Pradesh,Anantapur
24,31,"19.0627033, 72.9297396","D. No.14/224, Kamala Nagar",Varun Children's Hospital,Andhra Pradesh,Anantapur
25,32,"14.6818877, 77.6005911","7/201, Court Road",Venkat Sai Health Care Pvt Ltd ( Apollo Hospitals),Andhra Pradesh,Anantapur
26,33,"14.6607456, 77.6085681","Navodaya Colony, Anantpur",Vijaya Nursing Home,Andhra Pradesh,Anantapur
27,35,"13.0433764, 80.1622367","12-2-865, 1St Cross, Sai Nagar",Mamatha Nursing Home,Andhra Pradesh,Anantapur
28,36,"14.6735546, 77.6081894","28-639-1, Behind Sangamesh Funtion Hall, Anantapur",Anantapuram Praja Vaidyasala,Andhra Pradesh,Anantapur
29,37,"14.6818877, 77.6005911","M.F. Road,.",Balaji Nursing Home,Andhra Pradesh,Anantapur
30,38,"14.6818877, 77.6005911","Opposite R.T.C Bus Stand, Hindupur (Po) Anantapur",Dr B V Syamala Ratnam Hospiatal,Andhra Pradesh,Anantapur
31,39,"14.178135, 77.2728241","18-1-167, M F Road, Hindupur",Girish Multispeciality Hospital,Andhra Pradesh,Anantapur
32,40,"13.8358978, 77.5046101","R.P.G.T Road, Near Sreenivasa Theatre, Hindupur, Anantpur, (A.P)-515201",Shilpa Hospital,Andhra Pradesh,Anantapur
33,41,"13.8185378, 77.4988753",Beside Sreenivasa Talkies R.P.G.T. Road. Hindupur,Sreenivasa Nursing Home,Andhra Pradesh,Anantapur
34,42,"13.8371751, 77.4878898",R.P and G.T Road Hindupur--515201,Teja Nursing Home,Andhra Pradesh,Anantapur
35,43,"14.910003, 78.0005407","1/531A-3, East Palem, C B Road, Tadaptri",Sharada Nursing Home and Falvia P Reddy Diagnostic,Andhra Pradesh,Anantapur
36,44,"14.9070274, 78.0092703","C.B Road, Tadpatri",Sri Kanchani Hospital,Andhra Pradesh,Anantapur
37,47,"14.4137447, 77.7126189","Beside Sudharsan Theatre, R.S.Road, Dharmavaram, Anantapur ()",Devi Nursing Home,Andhra Pradesh,Anantapur
38,48,"14.4068919, 77.7125679","Near Saibaba Temple, Parthasaradhi Nagar, Dharmavaram",Spandana Hospital,Andhra Pradesh,Anantapur
39,49,"15.1622611, 77.3826845","Thilak Nagar, Guntakal",Preethi Nursing Home,Andhra Pradesh,Anantapur
40,52,"13.217176, 79.1003289","No.17-433, Lakshmi Complex, Sundarayyar Street,Chittoor,",Dr. Ramalakshmi Nursing Home,Andhra Pradesh,Chittoor
41,53,"13.217176, 79.1003289","No. 20-142/1, Near Raghava Theatre, Naidu Building, Chittoor",Dr. V. K. R. Nursing Home and Scan Centre,Andhra Pradesh,Chittoor
42,54,"28.6481837, 77.3709431","D.No:17-284,T.V.Naidu St,.",Lakshmi Hospital,Andhra Pradesh,Chittoor
43,56,"39.5988355, -77.932359","2-1250, Officers Lane,.",S.M.Clinic,Andhra Pradesh,Chittoor
44,57,"13.217176, 79.1003289","2-63/1, Officers Lane Opp: Municipal Office Opp: Municipal Office Chittoor 517001  Chittoor",Sreelatha Modern Eye Hospital And Research Centre,Andhra Pradesh,Chittoor
45,58,"13.65, 78.933333","2-1090, Padmavathi Nagar, Piler, Chittoor",Sujatha Nursing Home,Andhra Pradesh,Chittoor
46,60,"13.36592, 78.5750141",Opp:Tn Petrol Bunk Punganur Punganur 517247  Chittoor,Balaji Hospital,Andhra Pradesh,Chittoor
47,61,"13.36592, 78.5750141",Gokul Theater Road Punganur Punganur 517247  Chittoor,Vijaya Nursing Home,Andhra Pradesh,Chittoor
48,62,"13.5508703, 78.50597","Opposite R.T.C. Bus Stand, C.T.M. Road, Madanapalle- Chittoor ()",Balaji Multi Speciality Hospital,Andhra Pradesh,Chittoor
49,63,"13.5603491, 78.5036065",Near Rtc Bus Stand Chittoor Madanapalli 517325  Chittoor,Bhavya Child Care Center,Andhra Pradesh,Chittoor
50,64,"13.5508703, 78.50597",R T C Bus Stand Madanpalle -,Bhavyas Children Hospital,Andhra Pradesh,Chittoor
51,65,"13.5603491, 78.5036065",14/2A Ctm Road Beside Icici Bank Madanapalli 517325  Chittoor,Chandra Mohan's Nursing Home,Andhra Pradesh,Chittoor
52,66,"13.5603491, 78.5036065","Door No.Iii -153-4-3-1, Near Rtc Bus Stand, Madanapalle - 517325",Desai Hospital,Andhra Pradesh,Chittoor
53,67,"14.4656511, 78.8330438","No. 3-153-4-3-1, Near Rtc Bus Stand,",Desai Hospital-Madanapalli,Andhra Pradesh,Chittoor
54,68,"18.4328566, 79.1303578","Near R.T.C.Busstand,C.T.M.Road.",Emergency Hospital,Andhra Pradesh,Chittoor
55,69,"13.217176, 79.1003289",",C.T.M.Road.",Gupta Nursing Home,Andhra Pradesh,Chittoor
56,70,"13.5529488, 78.5086376","15-37, Burma St,,C.T.M. Road .",Kathasagaram Hospitals,Andhra Pradesh,Chittoor
57,71,"13.217176, 79.1003289",",C.T.M.Road.",Leo Hospital,Andhra Pradesh,Chittoor
58,72,"13.5657237, 78.5066868","C.T.M Road(Opp State Bank Of India) Madanapalle, Chittoor",M.V.L Hospital,Andhra Pradesh,Chittoor
59,73,"13.553374, 78.5065719","C.T.M Road, Madanapalle",Madanapalle Hospital Pvt Ltd,Andhra Pradesh,Chittoor
60,74,"30.3145962, 78.0357476","Gandhi Road,Gandhi Road.",Popular Nursing Home,Andhra Pradesh,Chittoor
61,75,"13.5603491, 78.5036065","Iv-5-3, Marpoori Colony, Madanapalle",Rama Orthopaedic Nursing Home,Andhra Pradesh,Chittoor
